ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
borong,Kosorong,boro1279,,ksr,,,,
burum,Burum,buru1306,,bmu,,,,
dedua,Dedua,dedu1240,,ded,,,,
kate,Kâte,kate1253,,kmg,,,,
komba,Komba,komb1273,,kpf,,,,
kube,Hube,kube1244,,kgf,,,,
mape,Mape,mape1249,,mlh,,,,
mesem,Mese,mese1244,,mci,,,,
mindik,Mindik,buru1306,,bmu,,,,
nabak,Nabak,naba1256,,naf,,,,
ono,Ono,onoo1246,,ons,,,,
selepet,Selepet,sele1250,,spl,,,,
timbe,Timbe,timb1251,,tim,,,,
tobo,Tobo,tobo1251,,kgf,,,,
